 "Trigger_Waveform" , "Rise_Time" , "Dwell_Time" , "Fall_Time" , "Echo_Time" , "Final_Rise_Time" , "Max_Voltage_Amplitude" , "Min_Voltage_Amplitude" , "Period" , "Idle_Voltage" , "Amplitude" , "Waveform_Type" , "nozzle" , "Nozzle_Temp" , "Droplet_Ejected" , "Droplet_Visible" , "Droplet_Tail" , "Droplet_Satellites" , "Droplet_T1" , "Droplet_T2" , "Droplet_Diameter" , "Droplet_Velocity" , "Droplet_Distance_Traveled" , "Ink" ,
 "TR-30" , "2" , "10" , "4" , "10" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "900.0" , "2256.0" , "111.44" , "1.2396533923303834" , "1680.97" , "50 Glycerol" ,
 "TR-28" , "2" , "10" , "4" , "10" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "1456.0" , "2500.0" , "113.18" , "0.7323563218390805" , "764.58" , "50 Glycerol" ,
 "TR-20" , "2" , "80" , "4" , "80" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "800.0" , "1322.0" , "133.708" , "1.007080459770115" , "525.696" , "50 Glycerol" ,
 "TR-21" , "2" , "80" , "4" , "80" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "400.0" , "878.0" , "136.891" , "1.6300753138075315" , "779.176" , "50 Glycerol" ,
 "TR-22" , "2" , "80" , "4" , "80" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "700.0" , "1100.0" , "143.258" , "1.7755075" , "710.203" , "50 Glycerol" ,
 "TR-16" , "2" , "40" , "4" , "40" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "1756.0" , "2422.0" , "173.1" , "0.42265765765765767" , "281.49" , "80 Glycerol" ,
 "TR-11" , "2" , "40" , "4" , "40" , "2" , "40" , "-40" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "333.0" , "556.0" , "108.31" , "1.3171748878923768" , "293.73" , "DI Water" ,
 "TR-1" , "2" , "20" , "4" , "20" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "442.0" , "667.0" , "109.47" , "2.2387555555555556" , "503.72" , "TangoBlack" ,
 "TR-16" , "2" , "40" , "4" , "40" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "944.0" , "1156.0" , "131.42" , "2.178632075471698" , "461.87" , "TangoBlack" ,
 "TR-14" , "2" , "40" , "4" , "40" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "267.0" , "789.0" , "148.1" , "2.5170306513409964" , "1313.89" , "TangoBlack" ,
 "TR-13" , "2" , "40" , "4" , "40" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "1000.0" , "2322.0" , "148.67" , "1.1123676248108925" , "1470.55" , "TangoBlack" ,
