 "Trigger_Waveform" , "Rise_Time" , "Dwell_Time" , "Fall_Time" , "Echo_Time" , "Final_Rise_Time" , "Max_Voltage_Amplitude" , "Min_Voltage_Amplitude" , "Period" , "Idle_Voltage" , "Amplitude" , "Waveform_Type" , "nozzle" , "Nozzle_Temp" , "Droplet_Ejected" , "Droplet_Visible" , "Droplet_Tail" , "Droplet_Satellites" , "Droplet_T1" , "Droplet_T2" , "Droplet_Diameter" , "Droplet_Velocity" , "Droplet_Distance_Traveled" , "Ink" ,
 "TR-35" ,  ,  ,  ,  ,  , "40" , "-40" , "100" , "0" , "40" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "689.0" , "1989.0" , "115.03" , "1.0142692307692307" , "1318.55" , "50 Glycerol" ,
 "TR-54" ,  ,  ,  ,  ,  , "50" , "-50" , "125" , "0" , "50" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "244.0" , "2311.0" , "149.78" , "0.8039671020803096" , "1661.8" , "50 Glycerol" ,
 "TR-55" ,  ,  ,  ,  ,  , "60" , "-60" , "125" , "0" , "60" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "333.0" , "1589.0" , "153.38" , "1.5342675159235668" , "1927.04" , "50 Glycerol" ,
 "TR-76" ,  ,  ,  ,  ,  , "90" , "-90" , "200" , "0" , "90" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "489.0" , "1867.0" , "128.44" , "1.1402031930333818" , "1571.2" , "50 Glycerol" ,
 "TR-64" ,  ,  ,  ,  ,  , "60" , "-60" , "75" , "0" , "60" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "478.0" , "933.0" , "126.95" , "3.1184835164835167" , "1418.91" , "80 Glycerol" ,
 "TR-56" ,  ,  ,  ,  ,  , "70" , "-70" , "125" , "0" , "70" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "767.0" , "2500.0" , "116.72" , "0.6982573571840738" , "1210.08" , "DI Water" ,
 "TR-75" ,  ,  ,  ,  ,  , "80" , "-80" , "200" , "0" , "80" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "244.0" , "1278.0" , "96.89" , "0.7219439071566731" , "746.49" , "DI Water" ,
 "TR-76" ,  ,  ,  ,  ,  , "90" , "-90" , "200" , "0" , "90" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "444.0" , "1922.0" , "122.58" , "1.1839242219215156" , "1749.84" , "DI Water" ,
 "TR-46" ,  ,  ,  ,  ,  , "60" , "-60" , "50" , "0" , "60" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "356.0" , "700.0" , "131.63" , "0.3454651162790698" , "118.84" , "TangoBlack" ,
 "TR-64" ,  ,  ,  ,  ,  , "60" , "-60" , "75" , "0" , "60" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "467.0" , "1144.0" , "150.65" , "1.2372968980797636" , "837.65" , "TangoBlack" ,
 "TR-64" ,  ,  ,  ,  ,  , "60" , "-60" , "75" , "0" , "60" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "433.0" , "711.0" , "152.29" , "1.3085611510791366" , "363.78" , "TangoBlack" ,
 "TR-38" ,  ,  ,  ,  ,  , "70" , "-70" , "100" , "0" , "70" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "433.0" , "744.0" , "132.63" , "1.4217363344051448" , "442.16" , "TangoBlack" ,
 "TR-47" ,  ,  ,  ,  ,  , "70" , "-70" , "50" , "0" , "70" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "289.0" , "1189.0" , "133.4" , "1.7961666666666667" , "1616.55" , "TangoBlack" ,
