 "Trigger_Waveform" , "Rise_Time" , "Dwell_Time" , "Fall_Time" , "Echo_Time" , "Final_Rise_Time" , "Max_Voltage_Amplitude" , "Min_Voltage_Amplitude" , "Period" , "Idle_Voltage" , "Amplitude" , "Waveform_Type" , "nozzle" , "Nozzle_Temp" , "Droplet_Ejected" , "Droplet_Visible" , "Droplet_Tail" , "Droplet_Satellites" , "Droplet_T1" , "Droplet_T2" , "Droplet_Diameter" , "Droplet_Velocity" , "Droplet_Distance_Traveled" , "Ink" ,
 "TR-33" ,  ,  ,  ,  ,  , "10" , "-10" , "100" , "0" , "10" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "false" , "false" , "false" ,  ,  ,  ,  ,  , "50 Glycerol" ,
 "TR-50" ,  ,  ,  ,  ,  , "10" , "-10" , "125" , "0" , "10" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "false" , "false" , "false" ,  ,  ,  ,  ,  , "50 Glycerol" ,
 "TR-68" ,  ,  ,  ,  ,  , "10" , "-10" , "200" , "0" , "10" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "false" , "false" , "false" ,  ,  ,  ,  ,  , "50 Glycerol" ,
 "TR-41" ,  ,  ,  ,  ,  , "10" , "-10" , "50" , "0" , "10" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "false" , "false" , "false" ,  ,  ,  ,  ,  , "50 Glycerol" ,
 "TR-59" ,  ,  ,  ,  ,  , "10" , "-10" , "75" , "0" , "10" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "false" , "false" , "false" ,  ,  ,  ,  ,  , "50 Glycerol" ,
 "TR-51" ,  ,  ,  ,  ,  , "20" , "-20" , "125" , "0" , "20" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "false" , "false" , "false" ,  ,  ,  ,  ,  , "50 Glycerol" ,
 "TR-69" ,  ,  ,  ,  ,  , "20" , "-20" , "200" , "0" , "20" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "false" , "false" , "false" ,  ,  ,  ,  ,  , "50 Glycerol" ,
 "TR-34" ,  ,  ,  ,  ,  , "20" , "-20" , "100" , "0" , "20" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "true" , "false" , "false" ,  ,  , "110.24" ,  ,  , "50 Glycerol" ,
 "TR-42" ,  ,  ,  ,  ,  , "20" , "-20" , "50" , "0" , "20" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "true" , "false" , "false" ,  ,  , "111.44" ,  ,  , "50 Glycerol" ,
 "TR-60" ,  ,  ,  ,  ,  , "20" , "-20" , "75" , "0" , "20" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "false" , "true" , "false" , "false" ,  ,  , "95.14" ,  ,  , "50 Glycerol" ,
