 "Trigger_Waveform" , "Rise_Time" , "Dwell_Time" , "Fall_Time" , "Echo_Time" , "Final_Rise_Time" , "Max_Voltage_Amplitude" , "Min_Voltage_Amplitude" , "Period" , "Idle_Voltage" , "Amplitude" , "Waveform_Type" , "nozzle" , "Nozzle_Temp" , "Droplet_Ejected" , "Droplet_Visible" , "Droplet_Tail" , "Droplet_Satellites" , "Droplet_T1" , "Droplet_T2" , "Droplet_Diameter" , "Droplet_Velocity" , "Droplet_Distance_Traveled" , "Ink" ,
 "TR-43" ,  ,  ,  ,  ,  , "30" , "-30" , "50" , "0" , "30" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "522.0" , "2178.0" , "115.03" , "1.2026871980676328" , "1991.65" , "50 Glycerol" ,
 "TR-44" ,  ,  ,  ,  ,  , "40" , "-40" , "50" , "0" , "40" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "120.0" , "733.0" , "113.48" , "2.3502610114192497" , "1440.71" , "50 Glycerol" ,
 "TR-62" ,  ,  ,  ,  ,  , "40" , "-40" , "75" , "0" , "40" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "211.0" , "678.0" , "147.47" , "1.5945396145610278" , "744.65" , "50 Glycerol" ,
 "TR-45" ,  ,  ,  ,  ,  , "50" , "-50" , "50" , "0" , "50" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "311.0" , "656.0" , "112.64" , "3.1120289855072465" , "1073.65" , "50 Glycerol" ,
 "TR-63" ,  ,  ,  ,  ,  , "50" , "-50" , "75" , "0" , "50" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "311.0" , "978.0" , "130.82" , "2.7482008995502247" , "1833.05" , "50 Glycerol" ,
 "TR-36" ,  ,  ,  ,  ,  , "50" , "-50" , "100" , "0" , "50" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "867.0" , "1500.0" , "150.98" , "1.7590679304897314" , "1113.49" , "50 Glycerol" ,
 "TR-46" ,  ,  ,  ,  ,  , "60" , "-60" , "50" , "0" , "60" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "180.0" , "533.0" , "115.03" , "5.544022662889518" , "1957.04" , "50 Glycerol" ,
 "TR-37" ,  ,  ,  ,  ,  , "60" , "-60" , "100" , "0" , "60" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "333.0" , "1044.0" , "148.59" , "2.750436005625879" , "1955.56" , "50 Glycerol" ,
 "TR-64" ,  ,  ,  ,  ,  , "60" , "-60" , "75" , "0" , "60" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "367.0" , "644.0" , "152.22" , "3.6177617328519855" , "1002.12" , "50 Glycerol" ,
 "TR-47" ,  ,  ,  ,  ,  , "70" , "-70" , "50" , "0" , "70" , "Sine Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "120.0" , "411.0" , "113.44" , "6.633298969072165" , "1930.29" , "50 Glycerol" ,
