 "Trigger_Waveform" , "Rise_Time" , "Dwell_Time" , "Fall_Time" , "Echo_Time" , "Final_Rise_Time" , "Max_Voltage_Amplitude" , "Min_Voltage_Amplitude" , "Period" , "Idle_Voltage" , "Amplitude" , "Waveform_Type" , "nozzle" , "Nozzle_Temp" , "Droplet_Ejected" , "Droplet_Visible" , "Droplet_Tail" , "Droplet_Satellites" , "Droplet_T1" , "Droplet_T2" , "Droplet_Diameter" , "Droplet_Velocity" , "Droplet_Distance_Traveled" , "Ink" ,
 "TR-13" , "2" , "40" , "4" , "40" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "422.0" , "656.0" , "103.464" , "1.225111111111111" , "286.676" , "50 Glycerol" ,
 "TR-11" , "2" , "40" , "4" , "40" , "2" , "40" , "-40" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "500.0" , "844.0" , "108.24" , "2.572636627906977" , "884.987" , "50 Glycerol" ,
 "TR-16" , "2" , "40" , "4" , "40" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "467.0" , "844.0" , "111.423" , "3.158946949602122" , "1190.923" , "50 Glycerol" ,
 "TR-30" , "2" , "10" , "4" , "10" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "900.0" , "2256.0" , "111.44" , "1.2396533923303834" , "1680.97" , "50 Glycerol" ,
 "TR-29" , "2" , "10" , "4" , "10" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "944.0" , "1789.0" , "112.64" , "1.5203431952662723" , "1284.69" , "50 Glycerol" ,
 "TR-28" , "2" , "10" , "4" , "10" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "1456.0" , "2500.0" , "113.18" , "0.7323563218390805" , "764.58" , "50 Glycerol" ,
 "TR-32" , "2" , "10" , "4" , "10" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "256.0" , "478.0" , "115.03" , "4.017927927927928" , "891.98" , "50 Glycerol" ,
 "TR-6" , "2" , "20" , "4" , "20" , "2" , "40" , "-40" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "656.0" , "1100.0" , "127.262" , "1.0220022522522523" , "453.769" , "50 Glycerol" ,
 "TR-15" , "2" , "40" , "4" , "40" , "2" , "80" , "-80" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "335.0" , "500.0" , "128.933" , "4.170375757575758" , "688.112" , "50 Glycerol" ,
 "TR-5" , "2" , "20" , "4" , "20" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "489.0" , "656.0" , "133.209" , "2.972694610778443" , "496.44" , "50 Glycerol" ,
 "TR-20" , "2" , "80" , "4" , "80" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "800.0" , "1322.0" , "133.708" , "1.007080459770115" , "525.696" , "50 Glycerol" ,
 "TR-21" , "2" , "80" , "4" , "80" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "400.0" , "878.0" , "136.891" , "1.6300753138075315" , "779.176" , "50 Glycerol" ,
 "TR-22" , "2" , "80" , "4" , "80" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "700.0" , "1100.0" , "143.258" , "1.7755075" , "710.203" , "50 Glycerol" ,
 "TR-14" , "2" , "40" , "4" , "40" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "389.0" , "644.0" , "143.258" , "3.785043137254902" , "965.186" , "50 Glycerol" ,
 "TR-3" , "2" , "20" , "4" , "20" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "611.0" , "911.0" , "149.86" , "2.3155166666666664" , "694.655" , "50 Glycerol" ,
 "TR-4" , "2" , "20" , "4" , "20" , "2" , "80" , "-80" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "489.0" , "733.0" , "149.86" , "3.172155737704918" , "774.006" , "50 Glycerol" ,
 "TR-23" , "2" , "80" , "4" , "80" , "2" , "80" , "-80" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "356.0" , "600.0" , "152.809" , "1.9316926229508198" , "471.333" , "50 Glycerol" ,
 "TR-24" , "2" , "80" , "4" , "80" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "878.0" , "1378.0" , "162.36" , "1.956482" , "978.241" , "50 Glycerol" ,
 "TR-1" , "2" , "20" , "4" , "20" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "400.0" , "656.0" , "164.132" , "5.22944140625" , "1338.737" , "50 Glycerol" ,
 "TR-2" , "2" , "20" , "4" , "20" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "300.0" , "833.0" , "185.541" , "2.427889305816135" , "1294.065" , "50 Glycerol" ,
 "TR-12" , "2" , "40" , "4" , "40" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "367.0" , "667.0" , "81.18" , "4.170443333333333" , "1251.133" , "50 Glycerol" ,
 "TR-31" , "2" , "10" , "4" , "10" , "2" , "80" , "-80" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "411.0" , "1144.0" , "93.47" , "1.6221555252387447" , "1189.04" , "50 Glycerol" ,
 "TR-16" , "2" , "40" , "4" , "40" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "1756.0" , "2422.0" , "173.1" , "0.42265765765765767" , "281.49" , "80 Glycerol" ,
 "TR-29" , "2" , "10" , "4" , "10" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "278.0" , "600.0" , "101.29" , "2.316" , "745.752" , "DI Water" ,
 "TR-6" , "2" , "20" , "4" , "20" , "2" , "40" , "-40" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "489.0" , "944.0" , "104.64" , "2.504021978021978" , "1139.33" , "DI Water" ,
 "TR-12" , "2" , "40" , "4" , "40" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "300.0" , "556.0" , "105.7" , "2.2134375" , "566.64" , "DI Water" ,
 "TR-3" , "2" , "20" , "4" , "20" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "433.0" , "789.0" , "105.74" , "1.2618539325842697" , "449.22" , "DI Water" ,
 "TR-11" , "2" , "40" , "4" , "40" , "2" , "40" , "-40" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "333.0" , "556.0" , "108.31" , "1.3171748878923768" , "293.73" , "DI Water" ,
 "TR-22" , "2" , "80" , "4" , "80" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "433.0" , "700.0" , "111.57" , "4.259026217228465" , "1137.16" , "DI Water" ,
 "TR-16" , "2" , "40" , "4" , "40" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "378.0" , "578.0" , "118.91" , "4.4268" , "885.36" , "DI Water" ,
 "TR-13" , "2" , "40" , "4" , "40" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "244.0" , "500.0" , "121.85" , "3.958984375" , "1013.5" , "DI Water" ,
 "TR-21" , "2" , "80" , "4" , "80" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "389.0" , "733.0" , "135.05" , "3.4452906976744186" , "1185.18" , "DI Water" ,
 "TR-20" , "2" , "80" , "4" , "80" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "544.0" , "722.0" , "137.99" , "3.9937640449438203" , "710.89" , "DI Water" ,
 "TR-1" , "2" , "20" , "4" , "20" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "433.0" , "733.0" , "139.47" , "3.1415" , "942.45" , "DI Water" ,
 "TR-2" , "2" , "20" , "4" , "20" , "2" , "60" , "-60" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "600.0" , "800.0" , "142.03" , "2.7798000000000003" , "555.96" , "DI Water" ,
 "TR-15" , "2" , "40" , "4" , "40" , "2" , "80" , "-80" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "489.0" , "567.0" , "145.4" , "4.293589743589743" , "334.9" , "DI Water" ,
 "TR-24" , "2" , "80" , "4" , "80" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "356.0" , "556.0" , "158.56" , "3.39965" , "679.93" , "DI Water" ,
 "TR-14" , "2" , "40" , "4" , "40" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "550.0" , "744.0" , "159.7" , "3.826185567010309" , "742.28" , "DI Water" ,
 "TR-23" , "2" , "80" , "4" , "80" , "2" , "80" , "-80" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "411.0" , "622.0" , "167.35" , "3.090142180094787" , "652.02" , "DI Water" ,
 "TR-32" , "2" , "10" , "4" , "10" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "111.0" , "311.0" , "60.19" , "5.37925" , "1075.85" , "DI Water" ,
 "TR-31" , "2" , "10" , "4" , "10" , "2" , "80" , "-80" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "200.0" , "367.0" , "69.01" , "4.777784431137724" , "797.89" , "DI Water" ,
 "TR-18" , "2" , "80" , "4" , "80" , "2" , "20" , "-20" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "456.0" , "1211.0" , "83.67" , "0.9450331125827814" , "713.5" , "DI Water" ,
 "TR-4" , "2" , "20" , "4" , "20" , "2" , "80" , "-80" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "211.0" , "400.0" , "85.88" , "7.177089947089947" , "1356.47" , "DI Water" ,
 "TR-28" , "2" , "10" , "4" , "10" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "189.0" , "456.0" , "85.88" , "3.452808988764045" , "921.9" , "DI Water" ,
 "TR-5" , "2" , "20" , "4" , "20" , "2" , "90" , "-90" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "true" , "true" , "260.0" , "478.0" , "87.34" , "4.175733944954128" , "910.31" , "DI Water" ,
 "TR-30" , "2" , "10" , "4" , "10" , "2" , "70" , "-70" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "200.0" , "311.0" , "89.19" , "8.536036036036036" , "947.5" , "DI Water" ,
 "TR-27" , "2" , "10" , "4" , "10" , "2" , "40" , "-40" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "289.0" , "911.0" , "94.71" , "2.3986495176848877" , "1491.96" , "DI Water" ,
 "TR-19" , "2" , "80" , "4" , "80" , "2" , "40" , "-40" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "true" , "422.0" , "700.0" , "99.82" , "3.4851079136690646" , "968.86" , "DI Water" ,
 "TR-1" , "2" , "20" , "4" , "20" , "2" , "50" , "-50" ,  ,  ,  , "Symmetric Bipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "442.0" , "667.0" , "109.47" , "2.2387555555555556" , "503.72" , "TangoBlack" ,
