 "Trigger_Waveform" , "Rise_Time" , "Dwell_Time" , "Fall_Time" , "Echo_Time" , "Final_Rise_Time" , "Max_Voltage_Amplitude" , "Min_Voltage_Amplitude" , "Period" , "Idle_Voltage" , "Amplitude" , "Waveform_Type" , "nozzle" , "Nozzle_Temp" , "Droplet_Ejected" , "Droplet_Visible" , "Droplet_Tail" , "Droplet_Satellites" , "Droplet_T1" , "Droplet_T2" , "Droplet_Diameter" , "Droplet_Velocity" , "Droplet_Distance_Traveled" , "Ink" ,
 "TR-100" , "2" , "10" , "2" ,  ,  , "60" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "700.0" , "1689.0" , "111.79" , "1.155005055611729" , "1142.3" , "50 Glycerol" ,
 "TR-91" , "2" , "40" , "2" ,  ,  , "60" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "544.0" , "1956.0" , "115.75" , "0.4989235127478754" , "704.48" , "50 Glycerol" ,
 "TR-93" , "2" , "40" , "2" ,  ,  , "80" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "878.0" , "1411.0" , "134.78" , "1.9041463414634145" , "1014.91" , "50 Glycerol" ,
 "TR-92" , "2" , "40" , "2" ,  ,  , "70" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "500.0" , "1856.0" , "135.57" , "1.1888126843657816" , "1612.03" , "50 Glycerol" ,
 "TR-94" , "2" , "40" , "2" ,  ,  , "90" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "844.0" , "1411.0" , "149.84" , "1.7151499118165785" , "972.49" , "50 Glycerol" ,
 "TR-83" , "2" , "20" , "2" ,  ,  , "70" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "878.0" , "1411.0" , "132.94" , "2.1133583489681054" , "1126.42" , "80 Glycerol" ,
 "TR-102" , "2" , "10" , "2" ,  ,  , "80" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "944.0" , "2089.0" , "133.34" , "1.2555982532751093" , "1437.66" , "80 Glycerol" ,
 "TR-82" , "2" , "20" , "2" ,  ,  , "60" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "389.0" , "2500.0" , "134.13" , "0.7235575556608242" , "1527.43" , "80 Glycerol" ,
 "TR-103" , "2" , "10" , "2" ,  ,  , "90" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "689.0" , "1267.0" , "152.7" , "2.27742214532872" , "1316.35" , "80 Glycerol" ,
 "TR-83" , "2" , "20" , "2" ,  ,  , "70" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "389.0" , "1367.0" , "104.1" , "1.4231492842535787" , "1391.84" , "DI Water" ,
 "TR-98" , "2" , "10" , "2" ,  ,  , "40" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "511.0" , "1100.0" , "108.5" , "1.1775891341256368" , "693.6" , "DI Water" ,
 "TR-82" , "2" , "20" , "2" ,  ,  , "60" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "111.0" , "289.0" , "111.4" , "2.5807865168539323" , "459.38" , "DI Water" ,
 "TR-99" , "2" , "10" , "2" ,  ,  , "50" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "289.0" , "900.0" , "127.5" , "1.3540098199672668" , "827.3" , "DI Water" ,
 "TR-92" , "2" , "40" , "2" ,  ,  , "70" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "1822.0" , "2478.0" , "142.4" , "0.7749237804878049" , "508.35" , "DI Water" ,
 "TR-91" , "2" , "40" , "2" ,  ,  , "60" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "822.0" , "2500.0" , "145.5" , "0.4107687723480334" , "689.27" , "DI Water" ,
 "TR-80" , "2" , "20" , "2" ,  ,  , "40" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "222.0" , "989.0" , "55.86" , "1.4935593220338983" , "1145.56" , "DI Water" ,
 "TR-79" , "2" , "20" , "2" ,  ,  , "30" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "26.0" , "true" , "true" , "false" , "false" , "322.0" , "778.0" , "57.25" , "1.4348245614035087" , "654.28" , "DI Water" ,
 "TR-85" , "2" , "20" , "2" ,  ,  , "90" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "500.0" , "1144.0" , "104.5" , "0.6558229813664597" , "422.35" , "TangoBlack" ,
 "TR-94" , "2" , "40" , "2" ,  ,  , "90" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "489.0" , "1267.0" , "107.3" , "0.791452442159383" , "615.75" , "TangoBlack" ,
 "TR-94" , "2" , "40" , "2" ,  ,  , "90" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "489.0" , "778.0" , "113.94" , "0.9111764705882353" , "263.33" , "TangoBlack" ,
 "TR-85" , "2" , "20" , "2" ,  ,  , "90" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "554.0" , "744.0" , "125.97" , "1.6911052631578947" , "321.31" , "TangoBlack" ,
 "TR-85" , "2" , "20" , "2" ,  ,  , "90" , "0" ,  ,  ,  , "Unipolar Waveform" , "https://tw.rpi.edu/web/project/ampo-ink#Nozzle_BC" , "45.0" , "true" , "true" , "false" , "false" , "578.0" , "811.0" , "116.22" , "1.0644635193133047" , "248.02" , "VeroClear" ,
